id,name,type,space,full,empty,bike_yb1,bike_yb2,bike_eyb,city,area,lat,lng,place_id,address,is_open,updated_at
500107069,中山農安街口,2,17,1,16,0,1,0,台北市,中山區,25.0651,121.5224,,中山北路三段25號前,1,1704365537
500107071,中吉公園(松江路188巷),2,22,14,8,0,14,0,台北市,中山區,25.0568,121.53191,,松江路188巷11號對側,1,1704365537
500112079,協和祐德高級中學,2,20,14,6,0,14,0,台北市,信義區,25.0426,121.58381,,中坡南路51號對側,1,1704365537
500621014,啟明學校,2,10,5,5,0,5,0,台中市,后里區,24.30488,120.72212,,三豐路三段/文明路31巷3弄口(東南側),1,1704365537
500620011,上楓國小,2,20,7,13,0,6,1,台中市,大雅區,24.23593,120.66722,,民生路四/楓林街口(東北側),1,1704365537
500620012,寶興宮,2,15,7,8,0,7,0,台中市,大雅區,24.23816,120.65272,,神林路一段231巷58號(北側),1,1704365537
500621011,后里區農會,2,11,1,10,0,1,0,台中市,后里區,24.30692,120.71269,,后里區中山路148號(對側騎樓),1,1704365537
500621013,后里森林園區,2,15,3,12,0,3,0,台中市,后里區,24.30556,120.73118,,內東路232號(東南側),1,1704365537
500603059,臺中市民廣場(公益路155巷),2,39,1,38,0,1,0,台中市,西區,24.150648,120.66422,,公益路155巷/公益路口(西南側),1,1704365537
500620010,大雅體育園區,2,15,2,13,0,2,0,台中市,大雅區,24.24025,120.67429,,民生路四段/昌平路四段687巷口(東南側),1,1704365537
500205013,三鶯國民運動中心,2,17,4,13,0,4,0,新北市,三峽區,24.93697,121.36858,,文化路210巷15號(對面),1,1704365537
500205014,臺北大學(音律資訊大樓),2,50,18,31,0,18,0,新北市,三峽區,24.94278,121.36992,,圖資大道/法政路口(東南側),1,1704365537
500229040,大眾廟,2,22,10,12,0,10,0,新北市,新莊區,25.0374,121.458,,中正路82號(旁),1,1704365537
500229042,昌平公園,2,41,22,19,0,22,0,新北市,新莊區,25.05866,121.45811,,中央路/福壽街口(東南側),1,1704365537
500229044,捷運丹鳳站(1號出口),2,30,8,19,0,8,0,新北市,新莊區,25.02903,121.4228,,中正路/民安路口(東北側),1,1704365537
500229046,新莊勞工中心,2,21,10,11,0,10,0,新北市,新莊區,25.02033,121.43374,,新樹路/新樹路293巷口(西北側),1,1704365537
500220007,捷運泰山站,2,37,14,23,0,14,0,新北市,泰山區,25.0531,121.44,,新北大道四段389號(捷運泰山站內廣場),1,1704365537
500216017,頭湖國小,2,22,6,16,0,6,0,新北市,林口區,25.08167,121.37268,,民權路72號對側,1,1704365537
500216022,新麗園社區,2,20,4,16,0,4,0,新北市,林口區,25.07005,121.37691,,麗園一街與麗園路口,1,1704365537
500216023,林口社區運動公園,2,20,3,17,0,3,0,新北市,林口區,25.07411,121.37694,,文化一路一段/仁愛路二段路口,1,1704365537
500216024,林口社區運動公園(公園路),2,47,30,17,0,30,0,新北市,林口區,25.07447,121.37429,,公園路192號,1,1704365537
500205004,安溪國中,2,16,9,7,0,9,0,新北市,三峽區,24.92638,121.37185,,大同路135號(西側),1,1704365537
500205011,龍埔國小,2,30,12,18,0,12,0,新北市,三峽區,24.94104,121.37676,,大學路47號對側,1,1704365537
500205015,臺北大學體育館,2,22,18,4,0,18,0,新北市,三峽區,24.93974,121.36688,,大學路151號(台北大學體育館前),1,1704365537
500218101,捷運府中站(2號出口),2,0,0,0,0,0,0,新北市,板橋區,25.0095,121.46,,府中路5號(後方人行道),0,1704365537
500218102,西安市民活動中心,2,27,3,24,0,3,0,新北市,板橋區,25.01712,121.47188,,民生路二段56-2號西側,1,1704365537
500216025,林口自強公園,2,14,8,6,0,8,0,新北市,林口區,25.0781,121.397,,自強三街3號旁人行道,1,1704365537
500216026,林口國小,2,16,1,15,0,1,0,新北市,林口區,25.0805,121.389,,林口路77號對面林口國小旁人行道,1,1704365537
500216027,大崙公園,2,16,6,10,0,6,0,新北市,林口區,25.0766,121.36,,南勢二街408號旁,1,1704365537
500229062,瓊林南路101巷口,2,12,1,11,0,1,0,新北市,新莊區,25.01258,121.4343,,瓊林南路133號(旁),1,1704365537
500220004,泰山國小,2,16,10,6,0,10,0,新北市,泰山區,25.0624,121.431,,泰林路2段257號旁人行道,1,1704365537
500220005,同興公園,2,18,7,11,0,7,0,新北市,泰山區,25.0552,121.432,,仁義路15號對面,1,1704365537
500220008,台北花園廣場社區,2,8,1,7,0,1,0,新北市,泰山區,25.0641,121.426,,泰林路二段454號(旁),1,1704365537
500218097,捷運府中站(3號出口),2,69,30,28,0,30,0,新北市,板橋區,25.009,121.459,,府中路31號至53號對面,1,1704365537
500218098,縣民民族路口,2,24,0,24,0,0,0,新北市,板橋區,25.01,121.461,,縣民大道一段/民族路,1,1704365537
500209018,御史路1巷,2,16,0,16,0,0,0,新北市,五股區,25.0904,121.442,,御史路1巷5號(旁),1,1704365537
500209019,成泰路4段22巷,2,32,15,17,0,15,0,新北市,五股區,25.1083,121.456,,成泰路4段22巷29號(對面),1,1704365537
500205008,復興民生街口,2,20,12,8,0,12,0,新北市,三峽區,24.937,121.373,,復興路45號(前),1,1704365537
500205009,三峽國中,2,29,2,27,0,2,0,新北市,三峽區,24.9389,121.369,,復興路238號(前人行道),1,1704365537
500229052,西盛館,2,15,7,8,0,7,0,新北市,新莊區,25.01191,121.43271,,新樹路499號(旁),1,1704365537
500229053,西盛公園,2,34,8,24,0,8,0,新北市,新莊區,25.01711,121.42805,,西盛街197號(對面),1,1704365537
500216028,林口區公所,2,13,11,2,0,11,0,新北市,林口區,25.07674,121.38818,,仁愛路一段378號,1,1704365537
500216029,崇林國中,2,7,5,2,0,5,0,新北市,林口區,25.06754,121.37134,,麗園路121號西側,1,1704365537
500201007,十三行博物館,2,32,2,30,0,2,0,新北市,八里區,25.157,121.406,,博物館路183號(對面),1,1704365537
500209010,凌雲路一段158巷口,2,15,8,7,0,8,0,新北市,五股區,25.10356,121.44818,,凌雲路一段158巷22號(對面),1,1704365537
500209011,德泰公園,2,13,0,13,0,0,0,新北市,五股區,25.06812,121.43505,,成泰路一段79號(旁),2,1704365537
500209015,陸光國宅,2,16,3,13,0,3,0,新北市,五股區,25.08832,121.43232,,民義路1段/民義路1段183巷口,1,1704365537
500209016,成泰路一段(中油),2,16,9,7,0,9,0,新北市,五股區,25.07785,121.43555,,成泰路一段194號(對面),1,1704365537
500205006,三峽區公所(三峽老街),2,28,8,20,0,8,0,新北市,三峽區,24.9339,121.36929,,民權街36號南側,1,1704365537
500205007,中園國小,2,16,4,12,0,4,0,新北市,三峽區,24.92785,121.36752,,弘園街22號,1,1704365537
500205020,三峽區礁溪行政中心,2,16,11,5,0,11,0,新北市,三峽區,24.92843,121.37592,,光明路96-100號對面,1,1704365537
500209006,貿商國宅,2,15,5,9,0,5,0,新北市,五股區,25.06939,121.43068,,登林路76-3號(前人行道),1,1704365537
500209009,芳洲八路,2,16,6,10,0,6,0,新北市,五股區,25.0888,121.44631,,芳洲八路152號(對面),1,1704365537
500209014,台北得意GO,2,14,0,14,0,0,0,新北市,五股區,25.07429,121.46769,,四維路116號(人行道),1,1704365537
500205005,三峽國光青年社會住宅,2,16,3,13,0,3,0,新北市,三峽區,24.93743,121.37686,,三樹路5號西北側,1,1704365537
500205012,國立臺北大學(三峽校區),2,58,33,25,0,33,0,新北市,三峽區,24.94594,121.3729,,大學路160號(對側),1,1704365537
500231037,樹林區公所,2,17,13,4,0,13,0,新北市,樹林區,24.98976,121.42477,,博愛街198-5號對側,1,1704365537
500209013,成州國小,2,16,4,12,0,4,0,新北市,五股區,25.09952,121.4509,,成泰路三段493號(東側),1,1704365537
